ERA_CHAR_NAME_6392;²éÀí´óµÛ;;;;;;;;;;X
ERA_CHAR_NAME_144999;¿¨ÂåÂüÒ»ÊÀ;;;;;;;;;;X
ERA_CHAR_NAME_190347;Â×°Íµ× µÂÎ÷µÂÀïÎÚË¹;;;;;;;;;;X
ERA_CHAR_NAME_73679;°¢²·¶ÅÀ­ºÕÂüÒ»ÊÀ;;;;;;;;;;X
ERA_CHAR_NAME_34002;ÂüËÕ¶û;;;;;;;;;;X
ERA_CHAR_NAME_74413;¿üÊ¦ÄÇÒ»ÊÀ;;;;;;;;;;X
ERA_CHAR_NAME_163112;°×ÒÂ¹þ·òµ¤;;;;;;;;;;X
ERA_CHAR_NAME_40605;ÁôÀï¿Ë;;;;;;;;;;X
ERA_CHAR_NAME_90104;ÍºÍ·²éÀí;;;;;;;;;;X
ERA_CHAR_NAME_90107;ÈÕ¶úÂüÈËÂ·Ò×;;;;;;;;;;X
ERA_CHAR_NAME_1700;°ÍÎ÷¶ûÒ»ÊÀ;;;;;;;;;;X
ERA_CHAR_NAME_34014;ÄÂËþ×È;;;;;;;;;;X
ERA_CHAR_NAME_140;Õ÷·þÕßÍþÁ®;;;;;;;;;;X
ERA_CHAR_NAME_1316;ºàÀûËÄÊÀ;;;;;;;;;;X
ERA_CHAR_NAME_1128;ÂÞ²®ÌØ ¼ªË¹¿¨µÂ;;;;;;;;;;X
ERA_CHAR_NAME_3096;ÄÂË¹Ì¹Ëç¶û ±ÈÀ­;;;;;;;;;;X
ERA_CHAR_NAME_3040;°¢¶ûÆÕ °¢¶ûË¹À¼;;;;;;;;;;X
ERA_CHAR_NAME_74441;Ë÷Ã·Ë¹ÍßÀ­Ò»ÊÀ;;;;;;;;;;X
ERA_CHAR_NAME_457620;¿¨Ë¹Ìá¶û ·Ñ¶ûÄÏ¶àÈýÊÀ;;;;;;;;;;X
ERA_CHAR_NAME_212513;·Ñ¶ûÄÏ¶à¶þÊÀ;;;;;;;;;;X
ERA_CHAR_NAME_30809;Ò®Â·ÈöÀä ÒÁÉ¯±´À­¶þÊÀ;;;;;;;;;;X
ERA_CHAR_NAME_93052;»¨ØÝ×ÓÄ£ ÄÂº±Ä¬µÂ¶þÊÀ;;;;;;;;;;X
ERA_CHAR_NAME_170193;µÂÀï ÒÁÀÕ¶ÅÃÔÊ§;;;;;;;;;;X
ERA_CHAR_NAME_125501;³É¼ªË¼º¹;;;;;;;;;;X
ERA_CHAR_NAME_454500;°®µÂ»ªÈýÊÀ;;;;;;;;;;X
ERA_CHAR_NAME_455500;ëèÁ¦ÁùÊÀ;;;;;;;;;;X
ERA_CHAR_NAME_471500;¿¨ÆëÃ×ÈÕ´óµÛ;;;;;;;;;;X
ERA_CHAR_NAME_476500;ÍÁ¶úÆä °Â¶ûº¹;;;;;;;;;;X
ERA_CHAR_NAME_480000;ÔÂ¼´±ð¿Éº¹;;;;;;;;;;X
ERA_CHAR_NAME_170258;ÄÂº±Ä¬µÂ ±ö Í¼¸ñÂ³¿Ë;;;;;;;;;;X
ERA_UMAYYAD_EMPIRE;ÎéÂóÒ¶;;;;;;;;;;X
ERA_RASHTRAKUTA_KINGDOM;ÂÞÊªÍÓÂÞ¾ÐÍÓ;;;;;;;;;;X
ERA_JORVIK;Ô¼Î¬¿Ë;;;;;;;;;;X
ERA_HOLMGARDR;´óÅµ·ò¸çÂÞµÂ;;;;;;;;;;X
ERA_CHALUKYA;ÕÚÂ¦Æä;;;;;;;;;;X
ERA_KHWAREZM;»¨ØÝ×ÓÄ£;;;;;;;;;;X
ERA_TUGHLUQ;Í¼¸ñÂ³¿Ë;;;;;;;;;;X
disobedient_daughter_takes_lover;[FromFrom.GetFirstName] ÓÖ´¦ÁËÒ»¸öÇéÈË¡£;;;;;;;;;;X
DISOBEDIENT_DAUGHTER_MERC_BAND;[This.GetFirstName] µÄÁÔÈ®;;;;;;;;;;X
nick_the_red;ºìÁ³;;;;;;;;;;X
nick_the_sea_devil;º£ÉÏ¶ñÄ§;;;;;;;;;;X
nick_the_lioness;Ä¸Ê¨;;;;;;;;;;X
nick_the_flail_of;[Root.Liege.PrimaryTitle.GetName] Ö®¼Ï;;;;;;;;;;X
nick_the_scourge_of;[Root.Liege.PrimaryTitle.GetName] Ö®±Þ;;;;;;;;;;X
EVTTITLE_ZE_1011;²»Ð¢Ö®Å®;;;;;;;;;;X
EVTDESC_ZE_1011;ÄãµÄÅ®¶ù [FromFrom.GetFirstName] ¹ýÀ´¼ûÄã¡£Ëý¶ÔÄã°²ÅÅµÄ»éÒö·Ç³£²»¸ßÐË£º¡®[Root.GetFatherMother] £¬ÎÒ²»°®ÎÒµÄÐÂÕÉ·ò¡¢ÎÒ²»»á½ÓÊÜÕâ¼þÊÂ£¡ÎÒ¿ÒÇóÄú£¬È¡ÏûÕâ×®»éÊÂ°É£¡¡¯;;;;;;;;;;X
EVTOPTA_ZE_1011;ÄãÌ«³å¶¯ÁË£¬[FromFrom.GetFirstName] ¡£;;;;;;;;;;X
EVTOPTB_ZE_1011;ºÃ°É£¬ÎÒ²»»áÇ¿ÆÈÄã¡£;;;;;;;;;;X
EVTDESC_ZE_1012;Õýµ±Äã³ï±¸»éÀñÊ±£¬ [From.GetTitledName] Í¨ÖªÄã [From.GetHerHis]Å®¶ù²»½ÓÊÜÓë [target_spurned_spouse.GetTitledName] ½á»é£¬ [From.GetSheHe] ÒÑ¾­¾ö¶¨È¡ÏûÕâ×®»éÊÂÁË£¡;;;;;;;;;;X
EVTOPTA_ZE_1012;Ê²Ã´£¿ÕæÊÇº§ÈËÌýÎÅ£¡;;;;;;;;;;X
EVTOPTA_ZE_1031;ÎÒÈÏÎªÄã²»»á½éÒâ¡­¡­;;;;;;;;;;X
EVTDESC_ZE_1120;ÆÍÈËÃÇÖ®¼ä´«ÑÔ£¬½µÁÙÔÚÄãÅ®¶ù [From.GetFirstName] Ç°·òÉíÉÏµÄ±¯¾çÊÂÊµÉÏÊÇÄãÅ®¶ùÒ»ÊÖ²ß»®µÄ¡£Ëý¿ÉÄÜÔÚËûÊìË¯Ê±ÏÂÁË¶¾¡£;;;;;;;;;;X
EVTOPTA_ZE_1120;Ë­ÖªµÀÕâÐ©´«ÎÅÊÇ²»ÊÇÕæµÄ£¿;;;;;;;;;;X
EVTDESC_ZE_1130;ÄãÊÕµ½ÏûÏ¢³Æ£¬ÄãµÄÅ®¶ù£¬[From.GetFirstName]£¬ÔÚÎÔÊÒÀïÓëËýµÄÕÉ·ò·¢ÉúÁË¼¤ÁÒµÄÕù³³¡£ËýÄÃÆðÁËÒ»°Ñ½£¹¥»÷ÁËËýµÄÅäÅ¼¡£ËýµÄÕÉ·òËä³É¹¦ÕÒµ½Ò»°ÑÎäÆ÷À´×ÔÎÀ£¬µ«ÊÇÄãµÄÅ®¶ùÔÚÕ½¶·ÖÐ»÷°Ü²¢É±ËÀÁËËû¡£;;;;;;;;;;X
EVTOPTA_ZE_1130;Õæ¿ÉÅÂ£¬µ«ÊÇ¡£¡£¡£ÁîÈËÓ¡ÏóÉî¿Ì£¡;;;;;;;;;;X
EVTDESC_ZE_1142;ÄãµÄÅ®¶ù£¬[From.GetFirstName]£¬ºÍÈËË½±¼ÁË£¡¸üÔã¸âµÄÊÇ£¬ËýÍ¶±¼ÁËËýÔÚÍâ¹úµÄÅóÓÑ²¢ÇÒÔÚ[From.Owner.TopLiege.PrimaryTitle.GetName]¾³ÄÚµÄÒ»¸ö³Ç±¤Àï¶¨¾ÓÏÂÀ´¡£;;;;;;;;;;X
EVTOPTA_ZE_1142;Ê²Ã´£¿ÔõÃ´»á¡£¡£¡££¿;;;;;;;;;;X
EVTTITLE_ZE_1150;Ó¶±ø¹«Ö÷;;;;;;;;;;X
EVTDESC_ZE_1150;ÄãµÄÅ®¶ù£¬[From.GetFirstName]£¬ºÍÈËË½±¼ÁË£¬Å×ÆúÁËËýµÄ¼Ò×åºÍ¼ÒÏç£¡ÁîÄãÄÑÒÔÖÃÐÅµÄÊÇËý×éÖ¯ÁËÒ»ÅúÁ÷Ã¥ºÍ×ï·¸´Ó¶ø³ÉÁ¢ÁËÒ»¸öÓÉËýÁìµ¼Ó¶±øÍÅ£¡;;;;;;;;;;X
EVTOPTA_ZE_1150;ÎÞ·¨ÈÝÈÌ£¡;;;;;;;;;;X
EVTDESC_ZE_1180;ÄãµÄÅ®¶ù£¬[From.GetFirstName]£¬¶ÔÄãËµ£º¡°[Root.GetFatherMotherCap]£¬ÎÒÎÞ·¨ÈÝÈÌÄãµÄ×¨¶ÏºÍ±©Õþ¡£ÎÒ×îÎÞ·¨ÈÝÈÌµÄÊÇÄãÐéÎ±µØÀÄÓÃ[Root.Religion.GetRandomGodName]µÄÃûÒå¡£ÎÒÍÙÆúÄãµÄÐÅÑö²¢ÇÒÅ×ÆúÁËËü£¡¡±;;;;;;;;;;X
EVTOPTA_ZE_1180;ÎÒÑø´óÁËÒ»¸öÒì¶ËµÄÙôäÂÕß£¡;;;;;;;;;;X
EVTDESC_ZE_1190;ÄãµÄÅ®¶ù£¬[From.GetFirstName]£¬ÎÞ·¨ÈÌÊÜ×÷ÎªÒ»¸ö¹Â¶À±°Î¢µÄ´æÔÚ¡£ËýÒ»Ö±ÒÔÀ´¶¼ÏëÒªÎª×Ô¼ºµÄÈËÉúµÀÂ·×öÖ÷È´ÎÞ·¨´ï³É¡£Õâ´ÎËýÑ¡ÔñÁË×Ô¼ºÏëÒªµÄÈËÉú¡£;;;;;;;;;;X
EVTDESC_ZE_1302;ÄãµÄÅ®¶ù£¬[From.GetFirstName]£¬¶ÔÄãËµ£º¡®[Root.GetFatherMotherCap]£¬ÎÒÓë[target_daughter_wants_to_marry.GetFirstName]Ïà°®¡£ÎÒÒªÇóÄãÔÊÐíÎÒÃÇ½á»é¡£¡¯;;;;;;;;;;X
EVTOPTA_ZE_1302;µ±È»£¬Ç×°®µÄ£¬ÈçÄãËùÔ¸¡£;;;;;;;;;;X
EVTOPTB_ZE_1302;±ðÔÙÎÊÎÒÈç´Ë»ÄÃýµÄÊÂÇéÁË¡£;;;;;;;;;;X
EVTDESC_ZE_4000;ÄãµÄ [Root.GetMarshalName], [Root.job_marshal.GetTitledName], ÏòÄãÌáÁËÒ»¸ö½¨Òé: ¡®[Root.GetLordLady], ÎÒÈÏÎª [recommended_for_marshal_ze_4000.GetTitledNameWithNick] ½«³ÉÎªÒ»Ãû³öÉ«µÄ¾üÊÂÖ¸»Ó¹Ù. ÎÒ½¨ÒéÎªÁËÁìµØµÄÀûÒæ£¬ÎÒÃÇÒªÀûÓÃºÃ[recommended_for_marshal_ze_4000.GetHerHis]Ìì¸³¡£¡¯;;;;;;;;;;X
EVTOPTA_ZE_4000;ºÃµÄ¡£;;;;;;;;;;X
EVTOPTB_ZE_4000;²»£¬ÎÒÓÐÆäËûÈËÑ¡¡£;;;;;;;;;;X
disloyal_peasantry;²»ÖÒµÄÅ©Ãñ;;;;;;;;;;X
disloyal_peasantry_desc;Ä³Ð©ÈË»òÕßÊÂÇéÒý·¢ÁËÁìµØÄÚÅ©Ãñ¶ÔÓÚÍ³ÖÎÕßµÄ²»ÖÒÇéÐ÷;;;;;;;;;;X
abuse_of_office;ÀÄÓÃÖ°È¨;;;;;;;;;;X
spiritual_refused_pagans;¾Ü¾øÔÚÔ­Ê¼×Ú½ÌÍ½ÖÐ½øÐÐ´«½Ì»î¶¯;;;;;;;;;;X
spiritual_refused_pagans_desc;Õâ¸öÈËÎï£¬ËäÈ»ÉíÎª[GetLordSpiritualName]£¬µ«ÊÇ³öÓÚ°²È«ÎÊÌâµÄ¿¼ÂÇ£¬¾Ü¾øÔÚÔ­Ê¼×Ú½ÌµÄÁìµØÖÐ½øÐÐ´«½Ì»î¶¯¡£;;;;;;;;;;X
EVTDESC_ZE_5000;ÄãµÄ[Root.GetLordSpiritualName]µ½ÄãÃæÇ°ÒªÇóËµ£º¡°ÎÒµÄ[Root.GetLordLady]£¬ÎÒÏ£ÍûÄãÔÊÐíÎÒÈ¥Ô­Ê¼×Ú½ÌµÄÁìµØ£¬ÏòÄÇÐ©²»ÐÒµÄÈËÃÇ×ª²¥[Root.Religion.GetName]µÄÐÅÑö¡£Ò»ÇÐ¶¼ÊÇÎªÁË[Root.Religion.GetRandomGodName]µÄÈÙÒ«¡£¡±;;;;;;;;;;X
