#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
NOT_INTERESTED_IN_ANY_SOCIETY_TRIGGER;目前对某个社团不感兴趣;;;;;;;;;;x
INTERESTED_IN_ANY_SOCIETY_TRIGGER;目前对某个社团感兴趣;;;;;;;;;;x
reprimanded_merchants;被惩戒的商人;;;;;;;;;;x
reprimanded_merchants_desc;这个领地的商人因为做生意不诚信而失去特权，所以感到不安。;;;;;;;;;;x
dealing_with_dishonest_traders;处理不法商人;;;;;;;;;;x
dealing_with_dishonest_traders_desc;这个角色正在忙着寻找和劝告商人遵守更严格的行为合约。;;;;;;;;;;x
defending_vassal_rights;保护封臣权利;;;;;;;;;;x
defending_vassal_rights_desc;这个角色因为保护封臣不受其他人的干涉而出名。;;;;;;;;;;x
EVTDESC_JD_30002;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\n已经风闻天命所归的[From.Offmap.Ruler.GetShortChineseEmperorName]的耳目，来自你领土上的商人与天朝商人交易时有欺诈与不守信用的行为。我们确信你将立即制止这一行为。;;;;;;;;;;x
EVTOPTA_JD_30002;我们需要限制这个主要贸易行会的特权。;;;;;;;;;;x
EVTOPTB_JD_30002;我会派[target_marshal.GetFirstName] 查办那些惹麻烦的家伙。;;;;;;;;;;x
EVTOPTC_JD_30002;无论我们商人如何进行贸易都与王权无关。;;;;;;;;;;x
EVTDESC_JD_30003;[From.GetTitledFirstName]限制了你所在地区的商人的自由，因为他们在与其他领地的互动中存在不正当行为。然而，来自我们城市的商人的权利却属于我们的管辖范围，[From.GetFirstName]可能会愤怒，如果我们公开宣称这将是一个展现决心的机会。;;;;;;;;;;x
EVTOPTA_JD_30003;公开谴责滥用权力。;;;;;;;;;;x
EVTOPTB_JD_30003;我需要确保自己在 [From.GetFirstName]风评良好。;;;;;;;;;;x
EVTDESC_JD_30004;你的封臣，[From.GetTitledFirstName]，对你在[From.GetHerHis]的城市里侵犯商人权利的行为感到不满。[From.GetSheHeCap]现在已公开宣称此举是在[From.GetHerHis]的辖区内滥用权力。;;;;;;;;;;x
EVTOPTA_JD_30004;[From.GetHerHisCap] 的商人已在排队等候！;;;;;;;;;;x
OFFMAP_CHANGE_CURRENCY_GAIN;$OFFMAP|Y$得到 $VALUE|G$ $CURRENCY|Y$ ;;;;;;;;;;x
OFFMAP_CHANGE_CURRENCY_LOSE;$OFFMAP|Y$失去$VALUE|R$ $CURRENCY|Y$;;;;;;;;;;x
