string_DE_der;;;;;;;;;;;X
string_DE_Der;;;;;;;;;;;X
string_DE_die;;;;;;;;;;;X
string_DE_Die;;;;;;;;;;;X
string_DE_den;;;;;;;;;;;X
string_DE_Den;;;;;;;;;;;X
string_DE_ein;;;;;;;;;;;X
string_DE_Ein;;;;;;;;;;;X
string_DE_eine;;;;;;;;;;;X
string_DE_Eine;;;;;;;;;;;X
string_DE_des;;;;;;;;;;;X
string_DE_Des;;;;;;;;;;;X
string_DE_derdie;;;;;;;;;;;X
string_DE_DerDie;;;;;;;;;;;X
string_DE_dendie;;;;;;;;;;;X
string_DE_DenDie;;;;;;;;;;;X
string_DE_eineine;;;;;;;;;;;X
string_DE_EinEine;;;;;;;;;;;X
string_DE_DesDer;;;;;;;;;;;X
string_DE_desder;;;;;;;;;;;X
string_DE_unseres;;;;;;;;;;;X
string_DE_Unseres;;;;;;;;;;;X
string_DE_unserer;;;;;;;;;;;X
string_DE_Unserer;;;;;;;;;;;X
string_DE_unser;;;;;;;;;;;X
string_DE_Unser;;;;;;;;;;;X
string_DE_unsere;;;;;;;;;;;X
string_DE_Unsere;;;;;;;;;;;X
string_DE_unserem;;;;;;;;;;;X
string_DE_Unserem;;;;;;;;;;;X
string_DE_eines;;;;;;;;;;;X
string_DE_Eines;;;;;;;;;;;X
string_DE_einer;;;;;;;;;;;X
string_DE_Einer;;;;;;;;;;;X
string_DE_einem;;;;;;;;;;;X
string_DE_Einem;;;;;;;;;;;X
string_DE_einen;;;;;;;;;;;X
string_DE_Einen;;;;;;;;;;;X
string_DE_eineneine;;;;;;;;;;;X
string_DE_EinenEinen;;;;;;;;;;;X
string_DE_unseresunserer;;;;;;;;;;;X
string_DE_UnseresUnserer;;;;;;;;;;;X
string_DE_unserunsere;;;;;;;;;;;X
string_DE_UnserUnsere;;;;;;;;;;;X
string_DE_unseremunserer;;;;;;;;;;;X
string_DE_UnseremUnserer;;;;;;;;;;;X
string_DE_eineseiner;;;;;;;;;;;X
string_DE_EinesEiner;;;;;;;;;;;X
string_DE_einemeiner;;;;;;;;;;;X
string_DE_Einemeiner;;;;;;;;;;;X
string_DE_kein;;;;;;;;;;;X
string_DE_Kein;;;;;;;;;;;X
string_DE_keine;;;;;;;;;;;X
